GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0021900936,2020-03-06,1610612740,1610612748,110,104,102,100,NOP,MIA,Regular Season,2019-20,1610612740,,,,,,,,,,,,,0,0,0.4166666666666667
0021900951,2020-03-08,1610612764,1610612748,89,100,95,94,WAS,MIA,Regular Season,2019-20,1610612748,,,,,,,,,,,,,1,0,0.3472222222222222
0021901239,2020-08-01,1610612743,1610612748,105,125,99,99,DEN,MIA,Regular Season,2019-20,1610612748,Tyler Herro,20.1333333333333,5,1,7,,1,3,0.6666666666666666,4,0.25,2,1,0,0.6301369863013698
0021901269,2020-08-06,1610612749,1610612748,130,116,105,105,MIL,MIA,Regular Season,2019-20,1610612749,Tyler Herro,33.2666666666667,4,5,20,7,3,7,0.7142857142857143,5,0.2,5,0,0,0.7671232876712328
0021901306,2020-08-12,1610612760,1610612748,116,115,99,100,OKC,MIA,Regular Season,2019-20,1610612760,Tyler Herro,38.3166666666667,6,1,30,9,2,10,0.6,6,0.5,2,0,0,0.6111111111111112
0021901316,2020-08-14,1610612754,1610612748,109,92,101,100,IND,MIA,Regular Season,2019-20,1610612754,Tyler Herro,27.9333333333333,1,3,16,1,2,8,0.375,8,0.375,3,0,0,0.6164383561643836
0021900026,2019-10-26,1610612749,1610612748,126,131,122,121,MIL,MIA,Regular Season,2019-20,1610612748,Tyler Herro,32.3333333333333,5,3,14,,3,9,0.4444444444444444,7,0.2857142857142857,,1,0,0.7671232876712328
0021900039,2019-10-27,1610612750,1610612748,116,109,103,103,MIN,MIA,Regular Season,2019-20,1610612750,Tyler Herro,35.0333333333333,5,5,8,1,3,3,0.6666666666666666,6,0.16666666666666666,4,0,0,0.296875
0021900066,2019-10-31,1610612737,1610612748,97,106,95,97,ATL,MIA,Regular Season,2019-20,1610612748,Tyler Herro,30.45,4,1,17,,1,7,0.5714285714285714,9,0.3333333333333333,3,1,0,0.29850746268656714
0021900102,2019-11-05,1610612743,1610612748,109,89,97,98,DEN,MIA,Regular Season,2019-20,1610612743,Tyler Herro,15.1,3,3,2,,1,3,0.3333333333333333,1,,1,0,0,0.6301369863013698
0021900114,2019-11-07,1610612756,1610612748,108,124,100,99,PHX,MIA,Regular Season,2019-20,1610612748,Tyler Herro,28.9166666666667,2,,15,,1,8,0.375,4,0.75,2,1,0,0.4657534246575342
