GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0021200010,2012-10-31,1610612756,1610612744,85,87,92,93,PHX,GSW,Regular Season,2012-13,1610612744,Klay Thompson,33.7333333333333,8,4,16,,2,9,0.2222222222222222,7,0.5714285714285714,1,1,0,0.3048780487804878
0021200048,2012-11-05,1610612758,1610612744,94,92,92,92,SAC,GSW,Regular Season,2012-13,1610612758,Klay Thompson,39.2833333333333,7,1,22,5,2,8,0.5,9,0.3333333333333333,3,0,0,0.34146341463414637
0021200036,2012-11-03,1610612746,1610612744,110,114,99,98,LAC,GSW,Regular Season,2012-13,1610612744,Klay Thompson,28.3166666666667,8,2,17,3,4,11,0.36363636363636365,6,0.3333333333333333,3,1,0,0.6829268292682927
0021200080,2012-11-09,1610612747,1610612744,101,77,99,98,LAL,GSW,Regular Season,2012-13,1610612747,Klay Thompson,29.2166666666667,2,2,15,,4,8,0.375,8,0.375,1,0,0,0.5487804878048781
0021200143,2012-11-18,1610612760,1610612744,119,109,96,95,OKC,GSW,Regular Season,2012-13,1610612760,Klay Thompson,23.0333333333333,4,1,4,,1,5,0.4,3,,1,0,0,0.7317073170731707
0021200151,2012-11-19,1610612742,1610612744,101,105,105,104,DAL,GSW,Regular Season,2012-13,1610612744,Klay Thompson,41.7666666666667,3,4,7,2,4,8,0.125,6,0.16666666666666666,2,1,0,0.5
0021200126,2012-11-16,1610612750,1610612744,98,106,90,91,MIN,GSW,Regular Season,2012-13,1610612744,Klay Thompson,27.7833333333333,3,2,12,1,3,8,0.5,6,0.16666666666666666,2,1,0,0.3780487804878049
0021200261,2012-12-05,1610612765,1610612744,97,104,91,92,DET,GSW,Regular Season,2012-13,1610612744,Klay Thompson,38.25,4,,27,4,1,5,0.8,8,0.625,1,1,0,0.35365853658536583
0021200179,2012-11-23,1610612743,1610612744,102,91,90,90,DEN,GSW,Regular Season,2012-13,1610612743,Klay Thompson,35.8333333333333,1,,16,,2,5,0.4,7,0.5714285714285714,3,0,0,0.6951219512195121
0021200272,2012-12-07,1610612751,1610612744,102,109,90,90,BKN,GSW,Regular Season,2012-13,1610612744,Klay Thompson,36.3333333333333,5,1,13,,4,4,0.5,7,0.42857142857142855,2,1,0,0.5975609756097561
0021200283,2012-12-08,1610612764,1610612744,97,101,98,99,WAS,GSW,Regular Season,2012-13,1610612744,Klay Thompson,38.7833333333333,6,3,23,2,2,5,0.6,9,0.5555555555555556,5,1,0,0.35365853658536583
0021201189,2013-04-12,1610612747,1610612744,118,116,95,96,LAL,GSW,Regular Season,2012-13,1610612747,Klay Thompson,43.0333333333333,2,1,25,3,5,17,0.47058823529411764,7,0.2857142857142857,7,0,0,0.5487804878048781
0021200330,2012-12-14,1610612753,1610612744,99,85,92,93,ORL,GSW,Regular Season,2012-13,1610612753,Klay Thompson,32.95,4,1,9,,2,5,,8,0.375,4,0,0,0.24390243902439024
0021200337,2012-12-15,1610612737,1610612744,93,115,99,100,ATL,GSW,Regular Season,2012-13,1610612744,Klay Thompson,22.65,4,1,7,,5,6,0.3333333333333333,3,0.3333333333333333,1,1,0,0.5365853658536586
0021200299,2012-12-10,1610612766,1610612744,96,104,96,97,CHA,GSW,Regular Season,2012-13,1610612744,Klay Thompson,36.2,2,1,10,,4,2,1,5,0.4,6,1,0,0.25609756097560976
0021201230,2013-04-17,1610612757,1610612744,88,99,94,94,POR,GSW,Regular Season,2012-13,1610612744,Klay Thompson,38.2833333333333,3,2,24,1,4,12,0.3333333333333333,7,0.7142857142857143,,1,0,0.4024390243902439
0021200375,2012-12-19,1610612758,1610612744,131,127,101,101,SAC,GSW,Regular Season,2012-13,1610612758,Klay Thompson,36.4333333333333,5,,11,2,3,3,,6,0.5,5,0,0,0.34146341463414637
0021200420,2012-12-26,1610612762,1610612744,83,94,91,91,UTA,GSW,Regular Season,2012-13,1610612744,Klay Thompson,31.5666666666667,1,,15,3,2,10,0.3,3,0.6666666666666666,2,1,0,0.524390243902439
0021200498,2013-01-05,1610612746,1610612744,115,89,91,90,LAC,GSW,Regular Season,2012-13,1610612746,Klay Thompson,30.3166666666667,1,1,14,3,1,3,0.3333333333333333,7,0.42857142857142855,2,0,0,0.6829268292682927
0021200590,2013-01-18,1610612759,1610612744,95,88,91,90,SAS,GSW,Regular Season,2012-13,1610612759,Klay Thompson,39.1666666666667,3,2,21,3,1,9,0.3333333333333333,11,0.36363636363636365,3,0,0,0.7073170731707317
